Problem:    MathProg2
Rows:       574
Columns:    140 (140 integer, 140 binary)
Non-zeros:  1080
Status:     INTEGER OPTIMAL
Objective:  Coste = 4500 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Coste                    4500                             
     2 Restriccion_1_slot_por_avion[AV1]
                                   1             1             = 
     3 Restriccion_1_slot_por_avion[AV2]
                                   1             1             = 
     4 Restriccion_1_slot_por_avion[AV3]
                                   1             1             = 
     5 Restriccion_1_slot_por_avion[AV4]
                                   1             1             = 
     6 Restriccion_1_slot_por_avion[AV5]
                                   1             1             = 
     7 Restriccion_1_avion_por_slot[PISTA1,1]
                                   0                           1 
     8 Restriccion_1_avion_por_slot[PISTA1,2]
                                   0                           1 
     9 Restriccion_1_avion_por_slot[PISTA1,3]
                                   0                           1 
    10 Restriccion_1_avion_por_slot[PISTA1,4]
                                   0                           1 
    11 Restriccion_1_avion_por_slot[PISTA1,5]
                                   1                           1 
    12 Restriccion_1_avion_por_slot[PISTA1,6]
                                   0                           1 
    13 Restriccion_1_avion_por_slot[PISTA1,7]
                                   0                           1 
    14 Restriccion_1_avion_por_slot[PISTA2,1]
                                   0                           1 
    15 Restriccion_1_avion_por_slot[PISTA2,2]
                                   0                           1 
    16 Restriccion_1_avion_por_slot[PISTA2,3]
                                   0                           1 
    17 Restriccion_1_avion_por_slot[PISTA2,4]
                                   1                           1 
    18 Restriccion_1_avion_por_slot[PISTA2,5]
                                   0                           1 
    19 Restriccion_1_avion_por_slot[PISTA2,6]
                                   0                           1 
    20 Restriccion_1_avion_por_slot[PISTA2,7]
                                   0                           1 
    21 Restriccion_1_avion_por_slot[PISTA3,1]
                                   0                           1 
    22 Restriccion_1_avion_por_slot[PISTA3,2]
                                   1                           1 
    23 Restriccion_1_avion_por_slot[PISTA3,3]
                                   0                           1 
    24 Restriccion_1_avion_por_slot[PISTA3,4]
                                   0                           1 
    25 Restriccion_1_avion_por_slot[PISTA3,5]
                                   0                           1 
    26 Restriccion_1_avion_por_slot[PISTA3,6]
                                   0                           1 
    27 Restriccion_1_avion_por_slot[PISTA3,7]
                                   0                           1 
    28 Restriccion_1_avion_por_slot[PISTA4,1]
                                   1                           1 
    29 Restriccion_1_avion_por_slot[PISTA4,2]
                                   0                           1 
    30 Restriccion_1_avion_por_slot[PISTA4,3]
                                   0                           1 
    31 Restriccion_1_avion_por_slot[PISTA4,4]
                                   0                           1 
    32 Restriccion_1_avion_por_slot[PISTA4,5]
                                   0                           1 
    33 Restriccion_1_avion_por_slot[PISTA4,6]
                                   1                           1 
    34 Restriccion_1_avion_por_slot[PISTA4,7]
                                   0                           1 
    35 Restriccion_slot_libre[AV1,PISTA1,1]
                                   0                          -0 
    36 Restriccion_slot_libre[AV1,PISTA1,2]
                                   0                          -0 
    37 Restriccion_slot_libre[AV1,PISTA1,3]
                                   0                          -0 
    38 Restriccion_slot_libre[AV1,PISTA1,4]
                                   0                          -0 
    39 Restriccion_slot_libre[AV1,PISTA1,5]
                                   0                           1 
    40 Restriccion_slot_libre[AV1,PISTA1,6]
                                   0                           1 
    41 Restriccion_slot_libre[AV1,PISTA1,7]
                                   0                          -0 
    42 Restriccion_slot_libre[AV1,PISTA2,1]
                                   0                          -0 
    43 Restriccion_slot_libre[AV1,PISTA2,2]
                                   0                          -0 
    44 Restriccion_slot_libre[AV1,PISTA2,3]
                                   0                           1 
    45 Restriccion_slot_libre[AV1,PISTA2,4]
                                   0                           1 
    46 Restriccion_slot_libre[AV1,PISTA2,5]
                                   0                          -0 
    47 Restriccion_slot_libre[AV1,PISTA2,6]
                                   0                          -0 
    48 Restriccion_slot_libre[AV1,PISTA2,7]
                                   0                          -0 
    49 Restriccion_slot_libre[AV1,PISTA3,1]
                                   0                           1 
    50 Restriccion_slot_libre[AV1,PISTA3,2]
                                   1                           1 
    51 Restriccion_slot_libre[AV1,PISTA3,3]
                                   0                           1 
    52 Restriccion_slot_libre[AV1,PISTA3,4]
                                   0                          -0 
    53 Restriccion_slot_libre[AV1,PISTA3,5]
                                   0                          -0 
    54 Restriccion_slot_libre[AV1,PISTA3,6]
                                   0                           1 
    55 Restriccion_slot_libre[AV1,PISTA3,7]
                                   0                          -0 
