Problem:    Mathprog3
Rows:       595
Columns:    155 (155 integer, 140 binary)
Non-zeros:  1150
Status:     INTEGER OPTIMAL
Objective:  Beneficio = 21690 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Beneficio               21690                             
     2 Restriccion_Asientos[AV1]
                                  90                          90 
     3 Restriccion_Asientos[AV2]
                                 120                         120 
     4 Restriccion_Asientos[AV3]
                                 200                         200 
     5 Restriccion_Asientos[AV4]
                                 150                         150 
     6 Restriccion_Asientos[AV5]
                                 190                         190 
     7 Restriccion_Capacidad[AV1]
                                1698                        1700 
     8 Restriccion_Capacidad[AV2]
                                2700                        2700 
     9 Restriccion_Capacidad[AV3]
                                1295                        1300 
    10 Restriccion_Capacidad[AV4]
                                1700                        1700 
    11 Restriccion_Capacidad[AV5]
                                1997                        2000 
    12 Restriccion_Billetes_Leisure[AV1]
                                  21            20               
    13 Restriccion_Billetes_Leisure[AV2]
                                  27            20               
    14 Restriccion_Billetes_Leisure[AV3]
                                  33            20               
    15 Restriccion_Billetes_Leisure[AV4]
                                  20            20               
    16 Restriccion_Billetes_Leisure[AV5]
                                  52            20               
    17 Restriccion_Billetes_Business[AV1]
                                  31            10               
    18 Restriccion_Billetes_Business[AV2]
                                  53            10               
    19 Restriccion_Billetes_Business[AV3]
                                  12            10               
    20 Restriccion_Billetes_Business[AV4]
                                  30            10               
    21 Restriccion_Billetes_Business[AV5]
                                  21            10               
    22 Rstriccion_Billetes_Estandar
                                   0            -0               
    23 Restriccion_1_slot_por_avion[AV1]
                                   1             1             = 
    24 Restriccion_1_slot_por_avion[AV2]
                                   1             1             = 
    25 Restriccion_1_slot_por_avion[AV3]
                                   1             1             = 
    26 Restriccion_1_slot_por_avion[AV4]
                                   1             1             = 
    27 Restriccion_1_slot_por_avion[AV5]
                                   1             1             = 
    28 Restriccion_1_avion_por_slot[PISTA1,1]
                                   0                           1 
    29 Restriccion_1_avion_por_slot[PISTA1,2]
                                   0                           1 
    30 Restriccion_1_avion_por_slot[PISTA1,3]
                                   0                           1 
    31 Restriccion_1_avion_por_slot[PISTA1,4]
                                   0                           1 
    32 Restriccion_1_avion_por_slot[PISTA1,5]
                                   1                           1 
    33 Restriccion_1_avion_por_slot[PISTA1,6]
                                   0                           1 
    34 Restriccion_1_avion_por_slot[PISTA1,7]
                                   0                           1 
    35 Restriccion_1_avion_por_slot[PISTA2,1]
                                   0                           1 
    36 Restriccion_1_avion_por_slot[PISTA2,2]
                                   0                           1 
    37 Restriccion_1_avion_por_slot[PISTA2,3]
                                   0                           1 
    38 Restriccion_1_avion_por_slot[PISTA2,4]
                                   1                           1 
    39 Restriccion_1_avion_por_slot[PISTA2,5]
                                   0                           1 
    40 Restriccion_1_avion_por_slot[PISTA2,6]
                                   0                           1 
    41 Restriccion_1_avion_por_slot[PISTA2,7]
                                   0                           1 
    42 Restriccion_1_avion_por_slot[PISTA3,1]
                                   0                           1 
    43 Restriccion_1_avion_por_slot[PISTA3,2]
                                   1                           1 
    44 Restriccion_1_avion_por_slot[PISTA3,3]
                                   0                           1 
